account_number,snapshot_month,household_composition,activation_date,lifecycle_stage,geographic_market,premises_type,value_tier,credit_profile,commitment_end_date,own_voice_flag,own_data_flag,own_video_flag,loyalty_program_participation,loyalty_status,service_type,subscribed_speed_mbps,avg_delivered_throughput_mbps,network_outage_events,network_outage_duration_minutes,latency_ms,jitter_ms,packet_loss_pct,trouble_ticket_volume,ticket_resolution_time_hours,repeat_issue_flag,infrastructure_age_years,copper_pair_condition_score,distance_from_co_km,fiber_available_at_premises,service_provisioning_delay_days,install_failure_flag,mrc_data,mrc_voice,mrc_video,usage_based_charges,overage_charges,promo_discount_amount,promo_expiration_flag,price_increase_flag,notification_days_before_increase,credits_issued,billing_dispute_flag,refund_request_flag,bill_amount,late_payment_flag,collections_activity_flag,churn_event_month,churn_reason_code,final_destination,winback_attempts,winback_success_flag,time_to_churn_from_key_trigger_days,inbound_call_volume,call_reason_code,avg_handle_time_sec,escalations,transfers,nps_score,csat_score,ces_score,retention_offer_type,save_attempt_flag,save_outcome,complaint_volume,complaint_type,complaint_severity,chat_transcripts_count,email_correspondence_count,ivr_interactions_count,agent_notes_count,case_mgmt_records_count,data_consumption_gb,peak_usage_hours_pct,bandwidth_utilization_pct,connected_device_count,device_types_sample,video_streaming_hours,voip_minutes,self_service_portal_logins,mobile_app_sessions,avg_session_duration_sec,email_open_rate,sms_response_rate,competitor_broadband_available_by_address,competitor_pricing_index,competitor_promo_active,fixed_wireless_5g_coverage_rate,market_share_index,median_income,employment_rate,new_housing_dev_index,mdu_density_index,subsidy_eligibility,retention_campaign_exposed,offer_accept_flag,offer_reject_flag,fiber_migration_campaign_participation,upsell_cross_sell_attempt_flag,upsell_cross_sell_outcome,marketing_channel_engagement,ab_test_group,comm_preference,opt_out_marketing_flag,service_activation_event,service_deactivation_event
200000,2024-09-01 00:00:00,Family,2024-03-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46,25.8,1,1,68.4,5.7,0.582,2,26.8,1,27,85,3.45,0,4,0,49.07,0,0,2.68,0,0,0,0,0,0.35,0,0,51.4,0,0,,,,0,0,,3,Technical,469,1,0,26,2.7,1.67,None,0,NA,0,,,0,0,0,1,1,292.7,0.296,0.75,8,"Laptop,Phone,TV",66.3,0,2,1,201,0.197,0.075,1,1.07,1,0.55,1.15,78000,0.962,1.2,0.91,None,1,0,1,0,0,None,Phone,Variant_B,Email,0,1,0
200000,2024-10-01 00:00:00,Family,2023-09-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46,23,1,68,49.8,5.3,0.636,1,27.3,0,27,85,3.45,0,3,0,49.07,0,0,5.67,2.15,0,0,0,0,0,0,0,56.89,0,0,,,,0,0,,2,Technical,523,1,0,20,2.39,1.47,None,0,NA,0,,,0,2,0,1,1,222.6,0.29,0.533,8,"Laptop,Phone,TV",65.2,0,0,1,166,0,0.066,1,1.02,1,0.55,1.15,78000,0.962,1.09,0.98,None,0,0,0,0,0,None,DirectMail,Variant_B,Email,0,0,0
200000,2024-11-01 00:00:00,Family,2023-12-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Gold,Copper_DSL,46,26.4,2,148,63.3,6,0.363,1,50.4,0,27,85,3.45,0,1,0,49.07,0,0,0,0,0,0,0,0,7.33,0,0,41.74,0,0,,,,0,0,,0,,0,0,0,63,3.39,2.83,None,0,NA,1,Install,Medium,0,0,0,1,0,249.6,0.274,0.618,8,"Laptop,Phone,TV",72.3,0,0,1,74,0.11,0.144,0,0,0,0.55,1.15,78000,0.962,1.42,0.94,None,0,0,0,0,0,None,Email,Variant_B,Email,0,0,0
200000,2024-12-01 00:00:00,Family,2023-04-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,25.2,1,70,68.4,5.7,0.295,2,37.4,0,27,85,3.45,0,1,0,49.07,0,0,0,0,0,0,0,0,4.31,0,0,44.76,0,0,,,,0,0,,1,Retention,539,0,1,22,2.8,2.22,None,0,NA,1,Support,Low,0,1,1,1,1,339.5,0.136,0.62,8,"Laptop,Phone,TV",72.3,0,1,1,130,0.259,0,0,0,0,0.55,1.15,78000,0.962,1.3,0.79,None,0,0,0,0,0,None,Email,Variant_B,Email,0,0,0
200000,2025-01-01 00:00:00,Family,2023-07-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,25.7,2,43,76.8,11.3,0.193,0,0,0,27,85,3.45,0,0,0,49.07,0,0,4.38,7.04,0,0,0,0,0,0,0,60.49,0,0,,,,0,0,,1,Billing,488,0,0,9,4.55,1.71,Speed_Upgrade,0,NA,1,Billing,Low,0,1,1,0,1,190.7,0.327,0.424,8,"Laptop,Phone,TV",81.7,0,2,0,0,0.346,0.044,1,0.95,1,0.55,1.15,78000,0.962,1.25,1.25,None,0,0,0,0,0,None,Email,Variant_B,Email,0,0,0
200000,2025-02-01 00:00:00,Family,2023-06-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,25.2,1,79,76,7.7,0.425,1,35.9,1,27,85,3.45,0,3,0,49.07,0,0,7.9,0.02,0,0,0,0,0,0,0,56.99,0,0,,,,0,0,,3,Technical,516,0,0,7,4.14,3.15,None,0,NA,1,Speed,Medium,0,0,1,1,0,318.8,0.174,0.518,8,"Laptop,Phone,TV",77.2,0,0,0,0,0.251,0.238,0,0,0,0.55,1.15,78000,0.962,1.28,1.29,None,0,0,0,0,0,None,None,Variant_B,Email,0,0,0
200000,2025-03-01 00:00:00,Family,2024-01-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,34,1,1,78.1,6.5,0.47,0,0,0,27,85,3.45,0,1,0,49.07,0,0,1.05,2.61,0,0,0,0,0,0,0,52.73,0,0,,,,0,0,,0,,0,0,0,34,3.81,1.44,Discount,0,NA,0,,,0,0,1,0,0,181.9,0.175,0.484,8,"Laptop,Phone,TV",65.9,0,2,2,94,0.319,0.129,0,0,0,0.55,1.15,78000,0.962,1.11,0.92,None,0,0,0,0,0,Rejected,Email,Variant_B,Email,0,0,0
200000,2025-04-01 00:00:00,Family,2023-11-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,25.8,1,39,70.2,3.8,1.033,1,36.7,0,27,85,3.45,0,1,0,49.07,0,0,0.44,0,0,0,0,0,0,0,0,49.51,0,0,,,,0,0,,1,Billing,451,0,0,2,3.36,2.23,None,0,NA,0,,,1,1,3,1,0,227.6,0.202,0.63,8,"Laptop,Phone,TV",83.1,0,0,1,130,0.243,0,1,0.97,1,0.55,1.15,78000,0.962,1.17,1.1,None,0,0,0,0,0,None,Phone,Variant_B,Email,0,0,0
200000,2025-05-01 00:00:00,Family,2024-07-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,21.1,0,0,83.8,3.5,0.063,0,0,0,27,85,3.45,0,0,0,49.07,0,0,1.94,0,0,0,0,0,0,0,0,51.01,0,0,,,,0,0,,1,Billing,362,0,0,43,2.99,2.91,Discount,0,NA,1,Install,Medium,1,1,1,1,0,251.2,0.17,0.434,8,"Laptop,Phone,TV",56.9,0,3,0,0,0.164,0.159,0,0,0,0.55,1.15,78000,0.962,0.73,1.19,None,1,1,0,0,0,None,Email,Variant_B,Email,0,0,0
200000,2025-06-01 00:00:00,Family,2022-12-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,28.3,0,0,69.7,1.8,0.335,1,27.8,0,27,85,3.45,0,0,0,49.07,0,0,0,0,0,0,0,0,0,0,0,49.07,0,0,,,,0,0,,0,,0,0,0,26,4.23,2.1,Speed_Upgrade,0,NA,0,,,0,0,0,0,1,122.6,0.258,0.589,8,"Laptop,Phone,TV",78,0,2,1,137,0.25,0.243,1,0.9,1,0.55,1.15,78000,0.962,1.06,0.99,None,0,0,0,0,1,None,None,Variant_B,Email,0,0,0
